Postal Code,State,Primary_city,Zone
08730,NJ,Brielle,NJ-EDS-A
08731,NJ,Forked River,NJ-EDS-A
08733,NJ,Lakehurst,NJ-EDS-A
08734,NJ,Lanoka Harbor,NJ-EDS-A
08736,NJ,Manasquan,NJ-EDS-A
08741,NJ,Pine Beach,NJ-EDS-A
08742,NJ,Point Pleasant Beach,NJ-EDS-A
08750,NJ,Sea Girt,NJ-EDS-A
08753,NJ,Toms River,NJ-EDS-A
08755,NJ,Toms River,NJ-EDS-A
08757,NJ,Toms River,NJ-EDS-A
08758,NJ,Waretown,NJ-EDS-B
08759,NJ,Whiting,NJ-EDS-A
08801,NJ,Annandale,NJ-EDS-A
08805,NJ,Bound Brook,NJ-EDS-A
08807,NJ,Bridgewater,NJ-EDS-A
08809,NJ,Clinton,NJ-EDS-A
08810,NJ,Dayton,NJ-EDS-A
08812,NJ,Dunellen,NJ-EDS-A
08816,NJ,East Brunswick,NJ-EDS-A
08817,NJ,Edison,NJ-EDS-A
08820,NJ,Edison,NJ-EDS-A
08822,NJ,Flemington,NJ-EDS-A
08823,NJ,Franklin Park,NJ-EDS-A
08824,NJ,Kendall Park,NJ-EDS-A
08825,NJ,Frenchtown,NJ-EDS-A
08828,NJ,Helmetta,NJ-EDS-A
08829,NJ,High Bridge,NJ-EDS-A
08830,NJ,Iselin,NJ-EDS-A
08831,NJ,Jamesburg,NJ-EDS-A
08832,NJ,Keasbey,NJ-EDS-A
08833,NJ,Lebanon,NJ-EDS-A
08835,NJ,Manville,NJ-EDS-A
08836,NJ,Martinsville,NJ-EDS-A
08837,NJ,Edison,NJ-EDS-A
08840,NJ,Metuchen,NJ-EDS-A
08844,NJ,Hillsborough,NJ-EDS-A
08846,NJ,Middlesex,NJ-EDS-A
08850,NJ,Milltown,NJ-EDS-A
08852,NJ,Monmouth Junction,NJ-EDS-A
08853,NJ,Neshanic Station,NJ-EDS-A
08854,NJ,Piscataway,NJ-EDS-A
08857,NJ,Old Bridge,NJ-EDS-A
08858,NJ,Oldwick,NJ-EDS-A
08859,NJ,Parlin,NJ-EDS-A
08861,NJ,Perth Amboy,NJ-EDS-A
08863,NJ,Fords,NJ-EDS-A
08867,NJ,Pittstown,NJ-EDS-A
08869,NJ,Raritan,NJ-EDS-A
08872,NJ,Sayreville,NJ-EDS-A
08873,NJ,Somerset,NJ-EDS-A
08876,NJ,Somerville,NJ-EDS-A
08879,NJ,South Amboy,NJ-EDS-A
08880,NJ,South Bound Brook,NJ-EDS-A
08882,NJ,South River,NJ-EDS-A
08884,NJ,Spotswood,NJ-EDS-A
08887,NJ,Three Bridges,NJ-EDS-A
08889,NJ,Whitehouse Station,NJ-EDS-A
08899,NJ,Edison,NJ-EDS-A
08901,NJ,New Brunswick,NJ-EDS-A
08902,NJ,North Brunswick,NJ-EDS-A
08904,NJ,Highland Park,NJ-EDS-A
08933,NJ,New Brunswick,NJ-EDS-A
08989,NJ,New Brunswick,NJ-EDS-A
10001,NY,New York City,NJ-EDS-B
10002,NY,New York City,NJ-EDS-B
10003,NY,New York City,NJ-EDS-B
10004,NY,New York City,NJ-EDS-B
10005,NY,New York City,NJ-EDS-B
10006,NY,New York City,NJ-EDS-B
10007,NY,New York City,NJ-EDS-B
10009,NY,New York City,NJ-EDS-B
10010,NY,New York City,NJ-EDS-B
10011,NY,New York City,NJ-EDS-B
